23,200000,170074,160525,54261,27369,43879,151581,162078,131212,147972,17393,7025,2442,35709,9765,4208,275,19171,381899
23,200000,184968,177814,122140,27369,43879,170902,176639,156595,168186,61880,23463,7981,83815,36984,14531,922,55353,552202
33,200000,169986,151296,48370,27522,43795,151725,161915,119457,137309,14533,5899,2266,32395,7605,3021,282,12684,354706
33,200000,184890,171602,115217,27522,43795,170849,176499,148480,160681,55737,22189,7771,79735,31480,11571,1007,41680,526584
24,200000,170078,165148,56766,27655,44095,151688,162042,137315,153331,19160,6777,2501,37198,9195,3459,265,22373,397878
24,200000,184955,180725,125789,27655,44095,170885,176572,160477,171611,64971,24215,8264,86135,33742,12859,873,61947,565988
37,200000,170086,160152,52940,27633,43991,151937,162074,130705,147573,17061,6541,2327,34915,9108,3423,193,24326,380434
37,200000,184959,177492,121411,27633,43991,170946,176588,156076,167796,61244,23210,8040,83529,35068,12573,684,67094,550108
40,200000,169942,157999,52285,27529,44143,151535,162024,127671,145130,16194,6688,2548,34626,7829,3962,292,17744,373493
40,200000,184944,176220,119704,27529,44143,170861,176669,154239,166226,59659,23075,7888,82358,31033,14059,978,52441,544839
39,200000,170084,153723,49894,27746,44146,151770,162171,122562,140338,14932,6204,2555,33495,7074,3435,300,20554,361155
39,200000,184879,173180,116313,27746,44146,170797,176614,150524,162781,56615,22297,7873,80354,28764,12826,891,58941,531902
29,200000,169951,156802,52450,27453,44165,151681,161967,126257,143786,16223,6839,2686,34643,6601,3979,296,21134,370168
29,200000,185045,175379,119191,27453,44165,171120,176756,153536,165387,59298,23022,8028,81967,26736,13771,920,59853,541654
38,200000,170165,160813,54671,27839,44308,151852,162175,131527,148237,18252,6458,2477,35765,11504,3386,307,25987,382669
38,200000,184998,177911,122220,27839,44308,170927,176644,156748,168368,61986,23499,8011,84060,41236,12511,1022,69288,552317
28,200000,170231,158115,51530,27717,44012,151981,162154,128333,145308,16172,6295,2218,34263,7972,3938,247,18876,374031
28,200000,185115,176148,120223,27717,44012,171088,176709,154664,166207,60114,23068,7747,82690,32360,14677,927,55933,544905
56,200000,170241,160203,53190,27393,43997,152109,162332,130866,147638,16892,6676,2457,35042,8190,3853,221,17782,380649
56,200000,185156,177664,122013,27393,43997,171362,176906,156586,168096,61587,23506,8172,83659,32259,13982,858,52843,551013
55,200000,170135,158031,52583,27932,44149,151689,161824,128292,145001,16514,6552,2292,35027,8188,3652,208,20697,373359
55,200000,184810,175896,119944,27932,44149,170655,176141,154332,165709,60204,22979,7912,82538,32052,13124,810,58812,543542
